hidden node,steps,surrogate scale,epochs,learning rate,reg loss,loss,running time,train accuracy,test_accuracy
200,100,100,250,0.0002,1.00E-06,0.16538163,4929.38,98.95,65.04
200,100,100,250,0.0002,2.00E-06,0.096332225,4629.01,99.92,65.67
200,100,100,250,0.0002,3.00E-06,0.255354888,5036.44,97.53,62.35
200,100,90,250,0.0002,1.00E-06,0.163828998,5501.15,99.18,65.53
200,100,90,250,0.0002,2.00E-06,0.086391333,5395,99.94,64.6
200,100,90,250,0.0002,3.00E-06,0.230411518,5273.74,98.27,65.14
200,100,110,250,0.0002,1.00E-06,0.18322098,5276.31,98.77,63.92
200,100,110,250,0.0002,2.00E-06,0.09101286,5365.12,99.89,67.19
200,100,110,250,0.0002,3.00E-06,0.231623884,5386.68,98.12,62.74
200,75,100,250,0.0002,1.00E-06,0.169457999,5291.84,99.21,70.51
200,75,100,250,0.0002,2.00E-06,0.096512903,5255.14,99.8,67.87
200,75,100,250,0.0002,3.00E-06,0.220912889,5067.59,98.15,66.6
200,75,90,250,0.0002,1.00E-06,0.142503942,5206.09,99.61,68.12
200,75,90,250,0.0002,2.00E-06,0.081504417,5086.49,99.96,66.7
200,75,90,250,0.0002,3.00E-06,0.232999096,5122.14,97.83,66.46
200,75,110,250,0.0002,1.00E-06,0.1788596,5201.74,98.75,67.19
200,75,110,250,0.0002,2.00E-06,0.097664209,5635.27,99.67,68.85
200,75,110,250,0.0002,3.00E-06,0.241359598,5653.36,97.78,67.38
200,125,100,250,0.0002,1.00E-06,0.141394294,6191.15,99.67,60.79
200,125,100,250,0.0002,2.00E-06,0.088865985,6107.96,99.95,64.6
200,125,100,250,0.0002,3.00E-06,0.204486273,6175.18,98.85,60.84
200,125,90,250,0.0002,1.00E-06,0.152786526,6161.88,99.34,65.82
200,125,90,250,0.0002,2.00E-06,0.091107301,5902.61,99.9,63.38
200,125,90,250,0.0002,3.00E-06,0.189001008,5942.03,98.93,59.23
200,125,110,250,0.0002,1.00E-06,0.173604529,5837.26,99.07,58.64
200,125,110,250,0.0002,2.00E-06,0.081218424,5940.1,99.99,63.38
200,125,110,250,0.0002,3.00E-06,0.207031356,5912.76,98.7,61.91
150,100,100,250,0.0002,1.00E-06,0.214060198,5467.18,98.45,63.72
150,100,100,250,0.0002,2.00E-06,0.136644099,5443.94,99.32,65.77
150,100,100,250,0.0002,3.00E-06,0.257563152,5450.14,97.72,63.13
